onset_s,wave_type
0.0,N
1.1279999999969732,N
2.3399999999965075,N
3.558999999979278,N
4.688999999983935,N
5.805999999982305,N
6.972999999998137,N
8.122999999992317,N
9.21099999998114,N
10.413999999989755,N
11.597999999998137,N
12.699999999982538,N
13.88499999998021,N
15.081000000005588,N
16.26699999999255,N
17.364999999990687,N
18.510999999998603,N
19.715999999985797,N
20.861000000004424,N
21.95199999999022,N
23.070000000006985,N
24.160000000003492,N
25.2269999999844,N
26.396999999997206,N
27.56899999998859,N
28.683999999979278,N
29.76699999999255,N
30.94399999998859,N
32.08599999998114,N
33.054999999993015,N
33.970999999990454,N
34.837999999988824,N
35.679999999993015,N
36.50800000000163,N
37.38499999998021,N
38.362999999983,N
39.28200000000652,N
40.37899999998626,N
41.47299999999814,N
42.58199999999488,N
43.74099999997998,N
44.921000000002095,N
46.08299999998417,N
47.20199999999022,N
48.221999999979744,N
49.29999999998836,N
50.42499999998836,N
51.57499999998254,N
52.68299999998999,N
53.84799999999814,N
55.00899999999092,N
56.06899999998859,N
57.02099999997881,N
58.0909999999858,N
59.21099999998114,N
60.37200000000303,N
61.40299999999115,N
62.513000000006286,N
63.76999999998952,N
64.9989999999816,N
66.10099999999511,N
67.1479999999865,N
68.32300000000396,N
69.53099999998813,N
70.64999999999418,N
71.6809999999823,N
72.79899999999907,N
73.97899999999208,N
75.18599999998696,N
76.23499999998603,N
77.19500000000698,N
78.10999999998603,N
78.98199999998906,N
79.93399999997928,N
81.04399999999441,N
82.05799999998999,N
83.06899999998859,N
84.07699999999022,N
85.13300000000163,N
86.12099999998463,N
87.1809999999823,N
88.31399999998393,N
89.39900000000489,N
90.32199999998556,N
91.25500000000466,N
92.26900000000023,N
93.3739999999816,N
94.51199999998789,N
95.61900000000605,N
96.7390000000014,N
97.88399999999092,N
98.99700000000303,N
100.01699999999255,N
101.1469999999972,N
102.35000000000582,N
103.53200000000652,N
104.62200000000303,N
105.81599999999162,N
107.00599999999395,N
108.10599999999977,N
109.17699999999604,N
110.35000000000582,N
111.5449999999837,N
112.63999999998487,N
113.77899999998044,N
114.94699999998556,N
116.07399999999325,N
117.20699999999488,N
118.40799999999581,N
119.57600000000093,N
120.74199999999837,N
121.89299999998184,N
123.00299999999697,N
124.05899999997928,N
125.22899999999208,N
126.41899999999441,N
127.56699999998091,N
128.63099999999395,N
129.7729999999865,N
130.94699999998556,N
132.06500000000233,N
133.10599999999977,N
134.2280000000028,N
135.35000000000582,N
136.33299999998417,N
137.33900000000722,N
138.47999999998137,N
139.5130000000063,N
140.60000000000582,N
141.76399999999558,N
142.92900000000373,N
143.99199999999837,N
145.0570000000007,N
146.2060000000056,N
147.4079999999958,N
148.47000000000116,N
149.6359999999986,N
150.71400000000722,N
151.62699999997858,N
152.4989999999816,N
153.35000000000582,N
154.2060000000056,N
155.15700000000652,N
156.22000000000116,N
157.2029999999795,N
158.2829999999958,N
159.43299999999,N
160.42699999999604,N
161.39100000000326,N
162.41099999999278,N
163.50399999998626,N
164.53200000000652,N
165.41099999999278,N
166.27899999998044,N
167.14499999998952,N
168.03899999998976,N
168.98199999998906,N
169.9089999999851,N
170.8420000000042,N
171.73199999998906,N
172.61699999999837,N
